Category,Product Name,SKU,Variant / Size,Image Slot #,Image Type,Filename Suggestion,Status,Composition / Notes,AI Prompt (Honeyveda-inspired product photography)
Raw Honey,Rare Dammer Bee Honey,RDB-500,500g Glass Jar,3,Lifestyle — Spoon drip,dammer-500-spoon.png,PENDING,Dark tangy honey on ceramic spoon,"Extreme close-up macro of a small carved wooden spoon holding a glossy pool of dark amber (almost mahogany) stingless bee honey — thinner and more liquid than regular honey, catching a highlight. Placed on a raw stone slate surface with a scattered fresh green cardamom pod. Moody warm light, dark editorial food photography, Marou / El Bulli style. Ultra-sharp macro."
Raw Honey,Rare Dammer Bee Honey,RDB-500,500g Glass Jar,4,Origin — Nagaland forest,dammer-500-origin.png,PENDING,Nagaland tribal forest landscape,"Cinematic landscape photograph of misty forested hills of Nagaland at dawn — tribal terraced settlements in far distance, bamboo groves, morning fog, no visible people. Muted green-teal palette with warm amber morning light breaking through. Cinematic, National Geographic editorial, evocative of remote wilderness."
Raw Honey,Rare Dammer Bee Honey,RDB-500,500g Glass Jar,5,Ingredient — Stingless bees,dammer-500-bees.png,PENDING,Tiny stingless Dammer bees on hive,"Ultra-close macro photograph of small stingless Dammer bees (much smaller than regular honeybees, dark bodies) clustered around the entrance of a mud-and-resin hive tucked into a tree hollow. Real wildlife photography, warm forest bokeh, ultra-sharp detail on bee anatomy. National Geographic style."
Raw Honey,Rare Dammer Bee Honey,RDB-250,250g Glass Jar,1,Hero — Front label,dammer-250-hero.png,PENDING,Smaller premium jar,"Editorial product photograph of a 250g amber honey jar with premium deep-teal SUMOSTA label reading 'RARE DAMMER BEE HONEY 250g — NAGALAND'. Matte black lid, gold foil accent. Cream background, single soft key light, luxury collector's edition minimalism."
Raw Honey,Rare Dammer Bee Honey,RDB-250,250g Glass Jar,2,Size comparison,dammer-size-compare.png,PENDING,250g + 500g jars side by side,"Editorial photograph of two Rare Dammer Bee Honey jars side by side — 250g and 500g — matching deep-teal labels, matte black lids. Cream seamless background, soft top-left key light. Ultra-sharp product catalog composition."
Raw Honey,Artisanal Heritage Forest Honey,AHF-500,500g Glass Jar,1,Hero — Front label,heritage-500-hero.png,HAVE,Standard hero (already exists as tribal-1),Already exists — rename tribal-1.png if needed. If reshoot: Editorial product shot of 500g amber honey jar with earthy terracotta-colored kraft label reading 'ARTISANAL HERITAGE FOREST HONEY — SUMOSTA — KANDHAMAL'. Cream background soft window light matte copper lid. Aesop editorial style.
Raw Honey,Artisanal Heritage Forest Honey,AHF-500,500g Glass Jar,2,Angle — 3/4 turn,heritage-500-angle.png,PENDING,3/4 angle with tribal-craft label detail,"3/4 angle editorial photograph of Artisanal Heritage Forest Honey jar with terracotta-earth kraft label featuring small hand-illustrated tribal motif. Matte copper lid with subtle patina. Cream background side-lit warm amber. Product photography Aesop x Le Labo style. Ultra-sharp."
Raw Honey,Artisanal Heritage Forest Honey,AHF-500,500g Glass Jar,3,Lifestyle — Tribal harvesting,heritage-500-harvest.png,PENDING,Kandhamal tribal beekeeper harvesting,"Documentary portrait of a tribal beekeeper from Kandhamal Odisha traditionally harvesting wild honey from a forest hive — natural clothing traditional woven basket smoke pot woven baskets. Warm golden hour light natural documentary photography style respectful and dignified. National Geographic quality."
Raw Honey,Artisanal Heritage Forest Honey,AHF-500,500g Glass Jar,4,Origin — Kandhamal forest,heritage-500-origin.png,PENDING,Odisha Kandhamal biodiverse forest,"Cinematic landscape photograph of the Kandhamal forest in Odisha — dense biodiverse subtropical forest, ancient mahua trees, morning mist, dappled golden light through canopy. No people. Warm earthy palette. National Geographic editorial. Sense of ancestral wilderness."
Raw Honey,Artisanal Heritage Forest Honey,AHF-500,500g Glass Jar,5,Lifestyle — Toast with honey,heritage-500-toast.png,PENDING,Dark honey on rustic bread with cheese,"Overhead editorial food photograph of a rustic dark rye bread slice topped with aged farmhouse cheese, drizzled with dark amber Kandhamal honey. Cream linen napkin, brass butter knife, small ceramic honey jar with terracotta SUMOSTA label. Warm side light, muted earthy palette. Kinfolk magazine styling."
Raw Honey,Artisanal Heritage Forest Honey,AHF-250,250g Glass Jar,1,Hero — Front label,heritage-250-hero.png,PENDING,Smaller version of hero,"Editorial product photograph of 250g amber honey jar with terracotta kraft label reading 'ARTISANAL HERITAGE FOREST HONEY 250g — KANDHAMAL'. Matte copper lid. Cream background soft window light. Luxury minimalist product photography."
Raw Honey,Artisanal Heritage Forest Honey,AHF-250,250g Glass Jar,2,Size comparison,heritage-size-compare.png,PENDING,250g + 500g jars side by side,"Editorial catalog photograph — two Artisanal Heritage Forest Honey jars (250g + 500g) side by side, matching terracotta labels, matte copper lids. Cream seamless background, soft top-left key light. Ultra-sharp."
Raw Honey,Canopy Dew Forest Honey,CDF-500,500g Glass Jar,1,Hero — Front label,canopy-500-hero.png,HAVE,Standard hero (existing honeydew-1),Already exists — reshoot if needed. Editorial 500g amber honey jar with forest-green kraft label reading 'CANOPY DEW FOREST HONEY — SUMOSTA — SARANDA'. Matte dark-green lid. Cream background soft window light. Aesop style.
Raw Honey,Canopy Dew Forest Honey,CDF-500,500g Glass Jar,2,Angle — 3/4 turn,canopy-500-angle.png,PENDING,3/4 angle with tree canopy motif on label,"3/4 angle editorial product shot of Canopy Dew Forest Honey jar — forest-green kraft label with hand-illustrated forest canopy silhouette, matte dark-green metal lid. Cream background, side-lit with warm amber glow. Luxury product photography Aesop / Le Labo style."
Raw Honey,Canopy Dew Forest Honey,CDF-500,500g Glass Jar,3,Lifestyle — Tea drizzle,canopy-500-tea.png,PENDING,Honey drizzled into tea,"Overhead close-up of a small ceramic cup of freshly poured green tea with a wooden dipper drizzling amber honey into it. Steam rising, brass tea pot in soft background, linen napkin on aged wood surface. Warm morning light, muted greens and ambers. Kinfolk style food photography."
Raw Honey,Canopy Dew Forest Honey,CDF-500,500g Glass Jar,4,Origin — Saranda forest,canopy-500-origin.png,PENDING,Jharkhand Saranda sal forest canopy,"Cinematic upward-angle photograph looking up into the dense canopy of Saranda sal forest in Jharkhand — golden light filtering through leaves, tall straight trunks reaching upward, mystical forest cathedral feel. Warm greens and ambers. National Geographic editorial quality."
Raw Honey,Canopy Dew Forest Honey,CDF-500,500g Glass Jar,5,Ingredient — Honey close-up,canopy-500-macro.png,PENDING,Macro of honey texture,"Extreme close-up macro of light-amber Canopy Dew honey — showing viscous ribbon fold pattern catching directional light, tiny bubble suspended in the honey. Shot against a clean out-of-focus warm cream background. Ultra-detailed food photography, editorial magazine quality."
Raw Honey,Canopy Dew Forest Honey,CDF-250,250g Glass Jar,1,Hero — Front label,canopy-250-hero.png,PENDING,Smaller version of hero,"Editorial 250g amber honey jar with forest-green kraft SUMOSTA label 'CANOPY DEW FOREST HONEY 250g — SARANDA'. Matte dark-green lid. Cream background, soft window light, luxury minimalist product photography."
Raw Honey,Canopy Dew Forest Honey,CDF-250,250g Glass Jar,2,Size comparison,canopy-size-compare.png,PENDING,250g + 500g jars side by side,"Editorial catalog photograph — two Canopy Dew Forest Honey jars (250g + 500g) side by side, matching forest-green labels, matte dark-green lids. Cream seamless background, soft top-left key light."
Raw Honey,Bloodseed Forest Honey,BSF-500,500g Glass Jar,1,Hero — Front label,bloodseed-500-hero.png,HAVE,Standard hero (existing raktbeej-1),Existing — reshoot if needed. Editorial 500g amber honey jar (darker liquid than average honey) with deep-crimson kraft label reading 'BLOODSEED FOREST HONEY — SUMOSTA — ABUJHMARH'. Matte oxblood lid. Cream background soft window light. Aesop style luxury.
Raw Honey,Bloodseed Forest Honey,BSF-500,500g Glass Jar,2,Angle — 3/4 turn,bloodseed-500-angle.png,PENDING,3/4 angle with bloodseed motif on label,"3/4 angle editorial shot of Bloodseed Forest Honey jar — deep-crimson kraft label with hand-illustrated bloodseed pod motif, matte oxblood metal lid. Cream background, side-lit warm amber glow. Aesop / Le Labo style luxury product photography."
Raw Honey,Bloodseed Forest Honey,BSF-500,500g Glass Jar,3,Lifestyle — Wellness ritual,bloodseed-500-wellness.png,PENDING,Honey with turmeric and warm milk,"Overhead lifestyle photograph of a wellness ritual setup — small ceramic bowl of warm golden turmeric milk, wooden spoon with dark amber Bloodseed honey being stirred in, fresh turmeric root and black pepper cluster on side, cream linen napkin, aged wood surface. Warm golden light. Wellness editorial magazine style."
Raw Honey,Bloodseed Forest Honey,BSF-500,500g Glass Jar,4,Origin — Abujhmarh forest,bloodseed-500-origin.png,PENDING,Chhattisgarh Abujhmarh remote forest,"Cinematic landscape of the remote Abujhmarh forest in Chhattisgarh — dense untouched wilderness, ancient sal and mahua trees, misty morning atmosphere, no visible people, sense of pristine ancestral wildness. Muted deep greens with warm amber highlights. National Geographic editorial."
Raw Honey,Bloodseed Forest Honey,BSF-500,500g Glass Jar,5,Ingredient — Bloodseed plant,bloodseed-500-plant.png,PENDING,Bixa orellana (bloodseed) pod close-up,"Ultra-close macro photograph of an open bloodseed (Bixa orellana) pod revealing vivid crimson-red seeds inside a spiky green shell. Sitting on a raw stone surface, side-lit with soft warm daylight, background out-of-focus forest green. Ultra-sharp botanical photography, editorial quality."
Raw Honey,Bloodseed Forest Honey,BSF-250,250g Glass Jar,1,Hero — Front label,bloodseed-250-hero.png,PENDING,Smaller version of hero,"Editorial 250g amber honey jar with deep-crimson kraft SUMOSTA label 'BLOODSEED FOREST HONEY 250g — ABUJHMARH'. Matte oxblood lid. Cream background, soft window light, luxury minimalist product photography."
Raw Honey,Bloodseed Forest Honey,BSF-250,250g Glass Jar,2,Size comparison,bloodseed-size-compare.png,PENDING,250g + 500g jars side by side,"Editorial catalog photograph — two Bloodseed Forest Honey jars (250g + 500g) side by side, matching deep-crimson labels, matte oxblood lids. Cream seamless background, soft top-left key light. Ultra-sharp product catalog composition."
Gift Boxes,The 5 Elements Collection,GIFT-5E,5 × 70g Tasting Jars,1,Hero — Gift box closed,5elements-hero.png,HAVE,Gift box closed lid on top,Existing (combo-trialbox.png). Reshoot: Editorial hero shot of a luxurious hinged gift box in warm cream and gold. Box closed, embossed 'SUMOSTA — THE 5 ELEMENTS' gold-foil logo on top. Set on cream seamless background, soft directional light, subtle shadow. Le Labo x Hermes packaging aesthetic.
Gift Boxes,The 5 Elements Collection,GIFT-5E,5 × 70g Tasting Jars,2,Hero — Gift box open,5elements-open.png,PENDING,Box open showing 5 mini jars in a row,"Editorial overhead-slight-angle shot of open gift box revealing 5 mini 70g amber honey jars arranged in a neat row inside cream-linen fabric interior. Each jar has a color-coded mini SUMOSTA label (cream, teal, terracotta, forest-green, crimson). Matte gold caps. Cream box interior. Luxury tasting flight presentation. Aesop / Hermes / Le Labo style."
Gift Boxes,The 5 Elements Collection,GIFT-5E,5 × 70g Tasting Jars,3,Lifestyle — Gifting moment,5elements-gifting.png,PENDING,Gift box being handed over,"Warm lifestyle photograph of the SUMOSTA 5 Elements gift box being held and offered in soft warm hands (hands only visible from wrist). Cream sweater sleeve, background soft warm bokeh (Diwali diyas or festive candles softly out of focus). Golden hour light. Aspirational premium gifting mood. Kinfolk editorial style."
Gift Boxes,The 5 Elements Collection,GIFT-5E,5 × 70g Tasting Jars,4,Individual jars flat lay,5elements-flatlay.png,PENDING,All 5 mini jars in flat lay,"Overhead flat lay of five 70g mini amber honey jars arranged in a subtle arc on a cream linen surface, each with distinct color-coded label (Organic Wild, Rare Dammer, Canopy Dew, Artisanal Heritage, Bloodseed). Matte gold caps. Soft golden hour light. Minimalist editorial product catalog composition. Ultra-sharp."
Gift Boxes,The Heritage Trio,GIFT-HT,3 × 250g Combo,1,Hero — Gift box closed,heritage-trio-hero.png,PENDING,Trio gift box closed,"Editorial hero shot of a rectangular gift box in warm cream and gold, embossed 'SUMOSTA — HERITAGE TRIO' gold foil on top. Cream seamless background, soft directional light. Le Labo x Hermes gift-packaging aesthetic. Ultra-sharp product photograph."
Gift Boxes,The Heritage Trio,GIFT-HT,3 × 250g Combo,2,Hero — Gift box open,heritage-trio-open.png,PENDING,Box open showing 3 x 250g jars,"Editorial overhead-slight-angle photograph of open Heritage Trio gift box revealing three 250g amber honey jars — Organic Wild (cream label), Bloodseed (crimson label), Artisanal Heritage (terracotta label). Cream-linen interior. Matte lids. Luxury gift presentation. Aesop / Hermes styling."
Gift Boxes,The Forest Quartet,GIFT-QT,4 × 250g Combo,1,Hero — Gift box closed,forest-quartet-hero.png,PENDING,Quartet gift box closed,"Editorial hero shot of a rectangular gift box in warm cream and gold, embossed 'SUMOSTA — FOREST QUARTET' gold-foil logo on top. Cream seamless background, soft directional light. Le Labo x Hermes gift-packaging aesthetic."
Gift Boxes,The Forest Quartet,GIFT-QT,4 × 250g Combo,2,Hero — Gift box open,forest-quartet-open.png,PENDING,Box open showing 4 x 250g jars,"Editorial overhead-slight-angle shot of open Forest Quartet gift box revealing four 250g amber honey jars — Canopy Dew (green), Organic Wild (cream), Bloodseed (crimson), Artisanal Heritage (terracotta) — arranged 2x2 in cream-linen box interior. Matte lids. Luxury gift-presentation style. Aesop / Hermes."
Gift Boxes,The Wellness Trio,GIFT-WT,3 × 250g Combo,1,Hero — Gift box closed,wellness-trio-hero.png,PENDING,Trio wellness box closed,"Editorial hero shot of rectangular gift box in warm cream + sage-green accents, embossed 'SUMOSTA — WELLNESS TRIO' gold-foil logo on top. Cream seamless background, soft directional light. Le Labo x Aesop wellness aesthetic. Ultra-sharp."
Gift Boxes,The Wellness Trio,GIFT-WT,3 × 250g Combo,2,Hero — Gift box open,wellness-trio-open.png,PENDING,Box open showing 3 wellness jars,"Editorial overhead-slight-angle photograph of open Wellness Trio gift box revealing three 250g amber honey jars — Organic Wild, Bloodseed, Artisanal Heritage — nested in cream + sage linen box interior. Wellness / Ayurveda editorial mood."
Gift Boxes,The Terroir Trio,GIFT-TT,3 × 250g Combo,1,Hero — Gift box closed,terroir-trio-hero.png,PENDING,Terroir box closed,"Editorial hero shot of rectangular gift box in warm cream + deep-navy accents, embossed 'SUMOSTA — TERROIR TRIO' gold foil. Cream seamless background, luxury minimalism. Aesop x Le Labo styling."
Gift Boxes,The Terroir Trio,GIFT-TT,3 × 250g Combo,2,Hero — Gift box open,terroir-trio-open.png,PENDING,Box open showing 3 terroir jars,"Editorial overhead-angle shot of open Terroir Trio gift box revealing Bloodseed, Artisanal Heritage, Canopy Dew — three 250g jars in a row on cream + navy linen interior. Luxury gifting presentation."
Gift Boxes,Bloodseed & Artisanal Duo,DUO-BA,2 × 500g Combo,1,Hero — Duo box,duo-blood-artis-hero.png,PENDING,Duo box with 2 x 500g jars,"Editorial hero shot of a smaller square gift box in warm cream + deep-crimson accents, holding two 500g amber honey jars visible through a cream-linen inner nest — Bloodseed (crimson label) and Artisanal Heritage (terracotta label). Cream seamless background, luxury duo gift set aesthetic."
Gift Boxes,Wild Forest & Artisanal Duo,DUO-WA,2 × 500g Combo,1,Hero — Duo box,duo-wild-artis-hero.png,PENDING,Duo box with 2 x 500g jars,"Editorial hero shot of a square gift box in warm cream + sage accents, holding two 500g amber honey jars — Organic Wild (cream label) and Artisanal Heritage (terracotta label). Cream-linen nest interior. Cream seamless background. Aesop x Le Labo aesthetic."
Gift Boxes,Bloodseed & Wild Forest Duo,DUO-BW,2 × 500g Combo,1,Hero — Duo box,duo-blood-wild-hero.png,PENDING,Duo box with 2 x 500g jars,"Editorial hero shot of square gift box in warm cream + amber accents, holding two 500g amber honey jars — Bloodseed (crimson label) and Organic Wild (cream label). Cream-linen inner nest. Cream seamless background. Aesop x Le Labo styling."
Gift Boxes,Dammer & Canopy Dew Duo,DUO-DD,2 × 500g Combo,1,Hero — Duo box,duo-dammer-dew-hero.png,PENDING,Duo box with 2 x 500g jars,"Editorial hero shot of a premium square gift box in warm cream + deep-teal + forest-green accents, holding two 500g amber honey jars — Rare Dammer (deep-teal label) and Canopy Dew (forest-green label). Cream-linen inner nest with embossed 'SUMOSTA — RARE DUO' gold foil on lid. Luxury premium collector gift presentation. Aesop x Hermes."
Superfoods,Moringa Green Velvet,MOR-250,250g Jar,1,Hero — Front label,moringa-hero.png,PENDING,Amber jar with green powder blend,"Editorial product photograph of a 250g amber glass jar filled with vibrant green moringa powder blend, matte gold lid, cream + sage kraft label reading 'MORINGA GREEN VELVET — SUMOSTA'. Cream (#FFFDF8) seamless background, soft directional window light, subtle shadow. Aesop x Ilia Beauty wellness product aesthetic. Ultra-sharp."
Superfoods,Moringa Green Velvet,MOR-250,250g Jar,2,Lifestyle — Powder scoop,moringa-scoop.png,PENDING,Wooden scoop pouring green powder,"Overhead close-up of a small wooden scoop pouring vibrant green moringa powder onto a white ceramic dish, small pile of fresh moringa leaves on side, brass measuring spoon in soft background. Cream linen surface. Warm natural light. Wellness / superfood editorial photography."
Superfoods,Royal Golden Latte,RGL-250,250g Jar,1,Hero — Front label,golden-latte-hero.png,PENDING,Amber jar with golden turmeric powder blend,"Editorial product photograph of a 250g amber glass jar filled with vibrant golden turmeric-latte powder blend, matte gold lid, cream + saffron kraft label reading 'ROYAL GOLDEN LATTE — SUMOSTA'. Cream seamless background, soft window light. Aesop x Moon Juice wellness product aesthetic."
Superfoods,Royal Golden Latte,RGL-250,250g Jar,2,Lifestyle — Latte pour,golden-latte-pour.png,PENDING,Golden latte being poured,"Overhead close-up of a small ceramic cup of freshly steamed golden latte (turmeric milk) with visible micro-foam swirl, wooden spoon resting on saucer, fresh turmeric root and cinnamon stick on side, cream linen napkin. Warm morning light. Wellness editorial food photography style."
Nuts & Spreads,Multi-Nuts & Seeds Spread,NSS-250,250g Jar,1,Hero — Front label,nuts-spread-hero.png,PENDING,Amber jar with creamy brown spread,"Editorial product photograph of a 250g amber glass jar filled with rich creamy multi-nut & seed spread visible through glass, matte gold lid, cream kraft label reading 'MULTI-NUTS & SEEDS SPREAD — SUMOSTA'. Cream background, soft window light. Aesop x Pip & Nut aesthetic. Ultra-sharp."
Nuts & Spreads,Multi-Nuts & Seeds Spread,NSS-250,250g Jar,2,Lifestyle — Spread on toast,nuts-spread-toast.png,PENDING,Spread on artisan toast with nuts,"Overhead close-up of a slice of artisan sourdough toast generously spread with creamy nut butter, topped with scattered almonds, pumpkin seeds, and a drizzle of honey. Cream linen napkin, aged wood surface, soft warm morning light. Kinfolk editorial food photography."
Nuts & Spreads,Honey-Soaked Premium Nuts,HSN-250,250g Jar,1,Hero — Front label,soaked-nuts-hero.png,PENDING,Amber jar with honey-soaked nuts,"Editorial product photograph of a 250g amber glass jar filled with visible honey-glazed premium nuts (almonds, walnuts, cashews) submerged in golden honey. Matte gold lid, cream kraft label reading 'HONEY-SOAKED PREMIUM NUTS — SUMOSTA'. Cream background, soft window light. Ultra-sharp."
Nuts & Spreads,Honey-Soaked Premium Nuts,HSN-250,250g Jar,2,Lifestyle — Spoon of nuts,soaked-nuts-spoon.png,PENDING,Honey-glazed nuts on wooden spoon,"Extreme close-up of a wooden spoon lifting honey-glazed premium nuts (almonds, walnuts, cashews) glistening with amber honey. Nut pieces catching golden hour highlights, honey ribbons trailing. Cream linen surface, out-of-focus warm bokeh background. Ultra-detailed food photography, editorial quality."
Universal / Shared,SUMOSTA Brand,BRAND-01,-,1,Brand — Lifestyle table setting,brand-table-setting.png,PENDING,Curated brand lifestyle shot,"Editorial overhead flat lay of a curated SUMOSTA breakfast table — 500g Organic Wild Forest jar, sourdough loaf, small ceramic bowl of honeycomb, wooden dipper, brass butter knife, linen napkin, fresh figs, single small brass vase with wildflowers. Cream linen tablecloth. Warm morning natural light. Kinfolk / Cereal Magazine editorial style. Aspirational, warm, luxurious."
Universal / Shared,SUMOSTA Brand,BRAND-02,-,2,Brand — Honeycomb texture,brand-honeycomb-macro.png,PENDING,Extreme macro of raw honeycomb,"Extreme ultra-close macro of raw natural honeycomb — visible hexagonal wax cells filled with glistening amber honey, one cell dripping a slow honey drop. Warm golden side light, cream-out-of-focus background. Ultra-detailed, editorial food-magazine quality. National Geographic macro photography."
Universal / Shared,SUMOSTA Brand,BRAND-03,-,3,Brand — Bee on flower macro,brand-bee-flower.png,PENDING,Iconic bee-on-flower brand image,"Ultra-close macro of a single Indian honeybee mid-forage on a wild yellow forest wildflower, wings translucent and mid-motion-blur, dusted in pollen. Warm sunlight, out-of-focus soft green forest bokeh background. Ultra-sharp, National Geographic macro editorial. Signature brand image."
Universal / Shared,SUMOSTA Brand,BRAND-04,-,4,Brand — Founder portrait,brand-founder-portrait.png,PENDING,Warm founder / apiary portrait,"Warm editorial portrait of a founder-figure standing at the edge of a forest apiary, holding a small honeycomb frame, wearing simple natural linen clothing. Soft golden hour backlight, dappled forest light. Dignified respectful documentary portrait style. Kinfolk / New York Times Magazine editorial quality."
